fecha,entidad_id,entidad_nombre,programa,proyecto,actividad,categoria,descripcion,grupo_1,grupo_2,grupo_3,grupo_4,grupo_5,grupo_6,grupo_7,grupo_8,grupo_9,total,nivel_institucional
2008,351,Prefectura del Departamento de Chuquisaca,41,0,26,DESARROLLO DE LA EDUCACIÓN,DOCENCIA EDUCACION SECUNDARIA,39124768,0,0,0,0,0,0,0,0,39124768,PD
2008,351,Prefectura del Departamento de Chuquisaca,41,0,27,DESARROLLO DE LA EDUCACIÓN,ADMINISTRACION EDUCACION SUPERIOR NO UNIVERSITARIA,807500,0,0,0,0,0,0,0,0,807500,PD
2008,351,Prefectura del Departamento de Chuquisaca,41,0,28,DESARROLLO DE LA EDUCACIÓN,DOCENCIA EDUCACION SUPERIOR NO UNIVERSITARIA,12383416,0,0,0,0,0,0,0,0,12383416,PD
2008,351,Prefectura del Departamento de Chuquisaca,41,0,29,DESARROLLO DE LA EDUCACIÓN,ADMINISTRACION EDUCACION ALTERNATIVA,657865,0,0,0,0,0,0,0,0,657865,PD
2008,351,Prefectura del Departamento de Chuquisaca,41,0,30,DESARROLLO DE LA EDUCACIÓN,DOCENCIA EDUCACION ALTERNATIVA,13209965,0,0,0,0,0,0,0,0,13209965,PD
2008,351,Prefectura del Departamento de Chuquisaca,41,0,33,DESARROLLO DE LA EDUCACIÓN,INSTITUTOS NORMALES SUPERIORES,3738826,0,0,0,0,0,0,0,0,3738826,PD
2008,351,Prefectura del Departamento de Chuquisaca,41,0,34,DESARROLLO DE LA EDUCACIÓN,SUPLENCIAS POR MATERNIDAD,1406889,0,0,0,0,0,0,0,0,1406889,PD
2008,351,Prefectura del Departamento de Chuquisaca,41,0,90,DESARROLLO DE LA EDUCACIÓN,APOYO AL SEDUCA-FORTALECIMIENTO DIRECCIONES DISTRITALES,0,108298,57860,1163980,0,0,0,0,0,1330138,PD
2008,351,Prefectura del Departamento de Chuquisaca,41,0,91,DESARROLLO DE LA EDUCACIÓN,"PROGRAMA DE ALFABETIZACIÓN ""YO SI PUEDO""",0,34000,54500,18000,0,0,0,0,0,106500,PD
2008,351,Prefectura del Departamento de Chuquisaca,41,0,92,DESARROLLO DE LA EDUCACIÓN,APOYO AL SEDUCA,6326157,0,0,0,0,0,0,0,0,6326157,PD
